id,question
1,Have you ever stolen? T 
2,Is your hair color brown? T
3,Do you like dogs? T
4,Do you prefer cats over dogs? T
5,Do you like coffee? T
6,Do you own a TV? T
7,Are you born in germany? T
8,Are you athiest? T
9,Do you need glasses? T
10,Have you ever had surgery? T
