id,question
01,Have you ever stolen?
02,Is your hair color brown?
03,Do you like dogs?
04,Do you prefer cats over dogs?
05,Do you like coffee?
06,Do you own a TV?
07,Are you born in germany?
08,Are you athiest?
09,Do you need glasses?
10,Have you ever had surgery?
