id,question
1,Have you ever stolen?
2,Is your hair color brown?
3,Do you like dogs?
4,Do you prefer cats over dogs?
5,Do you like coffee?
6,Do you own a TV?
7,Are you born in germany?
8,Are you athiest?
9,Do you need glasses?
10,Have you ever had surgery?
